"NumEnr"|"Référence"|"Tare"|"Commentaires"|"Date_Création"|"Date_Modification"|"Clos"|"Stockage"|"Article"
"332"|"a1210"|"58595"|""|"26/07/2006 17:32:08"|"03/01/2011 11:52:26"|"0"|"div"|"418"
"333"|"b100"|"31213"|""|"27/07/2006 08:52:45"|"22/08/2008 10:39:22"|"0"|"div"|"419"
"334"|"a1268"|"53703"|""|"27/07/2006 08:57:34"|"22/08/2008 10:37:46"|"0"|"div"|"423"
"335"|"c1470"|"10811"|""|"27/07/2006 08:57:36"|"22/08/2008 10:41:55"|"0"|"div"|"423"
"336"|""|"0"|""|"27/07/2006 09:00:03"|"27/07/2006 09:01:36"|"0"|"boite VEL"|"548"
"337"|""|"0"|""|"27/07/2006 09:08:58"|"11/09/2006 15:21:00"|"0"|"boite vel"|"549"
"338"|""|"0"|""|"27/07/2006 09:10:49"|"27/07/2006 09:10:55"|"0"|"boite vel"|"550"
"339"|"a342"|"54623"|""|"27/07/2006 09:11:58"|"22/08/2008 10:38:00"|"0"|"div"|"420"
"340"|"Y016"|"36064"|""|"27/07/2006 09:35:41"|"08/07/2013 10:25:05"|"0"|"tbs-1"|"425"
"341"|"b106"|"30845"|"Centrifugé et filtré (protoc.M.Hugues)"|"27/07/2006 09:35:45"|"22/08/2008 10:40:23"|"0"|"DIV"|"425"
"342"|"a385"|"54226"|"Centrifugé"|"27/07/2006 09:35:59"|"22/08/2008 10:39:06"|"0"|"DIV"|"425"
"343"|"a889"|"56947"|""|"27/07/2006 09:48:34"|"22/08/2008 10:38:50"|"0"|"DIV"|"551"
"345"|"b549"|"29352"|""|"27/07/2006 09:55:47"|"22/08/2008 10:40:39"|"0"|"DIV"|"426"
"346"|"b961"|"29364"|""|"27/07/2006 09:57:02"|"22/08/2008 10:40:56"|"0"|"DIV"|"427"
"347"|"b088"|"31266"|""|"27/07/2006 11:04:48"|"22/08/2008 10:41:21"|"0"|"DIV"|"552"
"348"|"samp"|"0"|""|"27/07/2006 11:26:40"|"31/08/2011 10:03:20"|"0"|"SPD-1"|"542"
"349"|"b533"|"30228"|""|"27/07/2006 15:25:12"|"11/08/2008 12:00:13"|"0"|"vip-2"|"376"
"350"|"c0941"|"8696"|""|"27/07/2006 15:45:10"|"18/01/2013 15:10:35"|"0"|"div C"|"556"
"351"|"a1045"|"56769"|""|"27/07/2006 15:45:11"|"21/05/2013 15:37:15"|"0"|"elap-3"|"556"
"353"|"b497"|"30173"|""|"27/07/2006 15:57:18"|"05/08/2008 09:53:57"|"0"|"elap-1"|"555"
"354"|"b1174"|"29179"|""|"27/07/2006 15:59:27"|"06/08/2008 12:13:12"|"0"|"eLAP-2"|"267"
"355"|"y132"|"36002"|""|"27/07/2006 16:04:33"|"03/09/2008 12:24:48"|"1"|"tbs-3"|"557"
"356"|"c1466"|"9269"|"Cape Town"|"27/07/2006 16:10:44"|"13/05/2013 15:31:09"|"0"|"elap-3"|"309"
"357"|"c1456"|"9039"|"Kalahari Witdraai"|"27/07/2006 16:10:48"|"13/05/2013 15:35:45"|"0"|"elap-3"|"309"
"360"|"b1027"|"30748"|""|"28/07/2006 08:53:01"|"28/07/2006 08:53:20"|"0"|"veg-6"|"566"
"361"|"a1237"|"56121"|""|"28/07/2006 08:55:54"|"28/07/2006 09:00:00"|"0"|"veg-8"|"576"
"362"|"a1170"|"54622"|""|"28/07/2006 08:58:04"|"04/08/2008 12:32:14"|"1"|"veg-8"|"576"
"363"|"2XA"|"0"|""|"28/07/2006 09:01:26"|"04/08/2008 12:34:03"|"1"|"veg-8"|"804"
"364"|"5X50"|"0"|""|"28/07/2006 09:01:30"|"04/08/2008 12:34:02"|"1"|"VEG-8"|"804"
"365"|"a1123"|"54402"|""|"28/07/2006 09:08:05"|"28/07/2006 09:08:17"|"0"|"veg-1"|"578"
"366"|"a1089"|"54788"|""|"28/07/2006 09:09:56"|"28/07/2006 09:10:21"|"0"|"veg-2"|"579"
"367"|"a1159"|"55907"|""|"28/07/2006 09:12:26"|"28/07/2006 09:12:35"|"0"|"veg-6"|"580"
"368"|"a1080"|"54641"|""|"28/07/2006 10:05:40"|"11/10/2006 09:38:15"|"0"|"veg-1"|"589"
"369"|"a1061"|"54577"|""|"28/07/2006 10:07:26"|"28/07/2006 10:07:36"|"0"|"veg-2"|"597"
"370"|"a1157"|"56022"|""|"28/07/2006 10:09:59"|"28/07/2006 10:10:09"|"0"|"veg-6"|"598"
"371"|"a1104"|"53999"|""|"28/07/2006 10:11:39"|"28/07/2006 10:11:48"|"0"|"veg-4"|"600"
"372"|"O1A7"|"10107"|"Stock miroir"|"28/07/2006 10:11:39"|"28/06/2010 09:13:52"|"0"|"2B-A11"|"600"
"373"|"a1120"|"55375"|""|"28/07/2006 12:02:38"|"28/07/2006 12:03:03"|"0"|"veg-5"|"724"
"374"|"O1E9"|"10100"|"Stock miroir"|"28/07/2006 12:02:40"|"28/06/2010 09:15:44"|"0"|"2B-A11"|"724"
"375"|"a1055"|"54616"|""|"28/07/2006 14:57:52"|"28/07/2006 14:58:03"|"0"|"veg-1"|"632"
"376"|"a1114"|"54367"|""|"28/07/2006 15:01:54"|"28/07/2006 15:02:07"|"0"|"veg-5"|"601"
"377"|"a1113"|"55097"|""|"28/07/2006 15:04:32"|"28/07/2006 15:04:51"|"0"|"veg-3"|"602"
"378"|"O2A5"|"10131"|"Stock miroir"|"28/07/2006 15:04:35"|"28/06/2010 09:15:58"|"0"|"2B-A12"|"602"
"379"|"a1124"|"55205"|""|"28/07/2006 16:19:57"|"28/07/2006 16:20:14"|"0"|"veg-5"|"628"
"380"|"O2A1"|"10152"|"Stock miroir"|"28/07/2006 16:19:59"|"28/06/2010 09:15:47"|"0"|"2B-A12"|"628"
"381"|"b1042"|"30718"|""|"28/07/2006 16:41:43"|"28/07/2006 16:41:57"|"0"|"veg-4"|"627"
"382"|"a1130"|"54982"|""|"28/07/2006 16:41:46"|"28/07/2006 16:42:27"|"0"|"veg-4"|"627"
"383"|"O1E5"|"10192"|"Stock miroir"|"28/07/2006 16:42:14"|"28/06/2010 09:15:33"|"0"|"2B-A11"|"627"
"384"|"a1067"|"54643"|""|"28/07/2006 17:04:24"|"28/07/2006 17:04:39"|"0"|"veg-2"|"626"
"385"|"O1D2"|"10154"|"Stock miroir"|"28/07/2006 17:04:27"|"28/06/2010 09:15:04"|"0"|"2B-A11"|"626"
"387"|"a1074"|"54426"|""|"31/07/2006 12:12:11"|"23/03/2007 10:52:20"|"1"|"veg-3"|"633"
"388"|"O1D3"|"10237"|"Stock miroir"|"31/07/2006 12:12:11"|"28/06/2010 09:15:06"|"0"|"2B-A11"|"633"
